FSID,mapping_period,month,region,satellite,upload_date,file_name,current,comment,R,G,B
1,2023/01/01-2023/01/22,1,QLDS,,20230123,FSQLDS_20221206-20230122,,,,,
2,2023/01/01-2023/01/16,1,WAN,Sentinel 2,20230201,FSWAN_S2Mosaic_20221201-20230116_2023,,,,,
3,2023/01/01-2023/01/16,1,WAS,Sentinel 2,20230201,FSWAS_S2Mosaic_20220901-20230130_2023,,,,,
4,2023/01/22-2023/02/13,1,QLDS,,20230215,fsqlds_20230122-20230213,,,,,
5,2023/01/22-2023/02/13,2,QLDS,,20230215,fsqlds_20230122-20230213,,,,,
6,2023/01/01-2023/01/31,1,WAN,Sentinel 2,20230225,FSWAN_S2Mosaic_20230101-20230223,,,,,
7,2023/02/01-2023/02/23,2,WAN,Sentinel 2,20230225,FSWAN_S2Mosaic_20230101-20230224,,,,,
8,2023/01/01-2023/01/31,1,WAS,Sentinel 2,20230225,FSWAS_S2Mosaic_20230101-20230223,,,,,
9,2023/02/01-2023/02/23,2,WAS,Sentinel 2,20230225,FSWAS_S2Mosaic_20230101-20230223,,,,,
10,2023/02/13-2023/02/27,2,QLDS,,20230227,FSQLDS_20220213-20220227,,,,,
11,2023/02/01-2023/02/25,2,NT,,20230227,FSNT_20230201-20230225,,,,,
12,2023/01/01-2023/01/31,1,WAN,Sentinel 2,20230308,WAN_S2Mosaic_20230201-20230308,,,,,
13,2023/02/01-2023/02/28,2,WAN,MODIS,20230308,WAN_MODIS_20230217-20230308,,,,,
14,2023/02/01-2023/02/28,2,WAN,Sentinel 2,20230308,WAN_S2Mosaic_20230201-20230308,,,,,
15,2023/03/01-2023/03/08,3,WAN,MODIS,20230308,WAN_MODIS_20230217-20230308,,,,,
16,2023/03/01-2023/03/08,3,WAN,Sentinel 2,20230308,WAN_S2Mosaic_20230201-20230308,,,,,
17,2023/02/27-2023/03/01,2,QLDS,,20230309,FSQLDS_20230227-20230301,,,,,
18,2023/01/01-2023/01/31,1,NT,Sentinel 2,20230313,FSNT_20230216-20230312,,NT South,,,
19,2023/02/27-2023/03/12,3,NT,MODIS,20230313,FSNT_20230216-20230312,,NT South,,,
20,2023/02/16-2023/02/27,2,NT,MODIS,20230313,FSNT_20230216-20230313,,NT South,,,
21,2023/02/01-2023/02/28,2,WAN,Sentinel 2,20230313,FSWAN_S2_20230201-20230313,,,,,
22,2023/03/01-2023/03/13,3,WAN,MODIS,20230313,FSWAN_S2_20230201-20230313,,,,,
23,2023/03/01-2023/03/12,3,WAN,MODIS,20230313,FSWAN_MODIS_20230308-20230312,,,,,
24,2023/02/05-2023/02/28,2,NT,Sentinel 2,20230318,FSNT_Feb2023_KatherineArea_s2,,,,,
25,2023/01/01-2023/01/31,1,WAS,Sentinel 2,20230318,FSWARLS2_S2Mosaic_02230101-20230317,,,,,
26,2023/02/01-2023/02/28,2,WAS,Sentinel 2,20230318,FSWARLS2_S2Mosaic_02230101-20230317,,,,,
27,2023/03/01-2023/03/17,3,WAS,Sentinel 2,20230318,FSWARLS2_S2Mosaic_02230101-20230317,,,,,
28,2023/01/01-2023/01/31,1,WAS,Sentinel 2,20230318,FSWAS_S2Mosaic_20230201-20230317,,,,,
29,2023/02/01-2023/02/28,2,WAS,Sentinel 2,20230318,FSWAS_S2Mosaic_20230201-20230317,,,,,
